Snum,Title,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude
336,Luigi's shooting,"Fayetteville, North Carolina",8/6/1993,4,8,12,No,White,Male,35.0529931,-78.8787058
337,Luigi's Restaurant in Fayetteville,"Fayetteville, North Carolina",8/6/1993,4,8,12,No,White American or European American,Male,35.07997086,-79.03796125
338,Weber State University,"Ogden, Utah",7/8/1993,1,3,3,No,Asian American,Male,41.2281367,-111.9675317
339,101 California Street shootings,"San Francisco, California",7/1/1993,9,6,15,No,White,Male,37.7789601,-122.419199
340,Offices of Pettit & Martin in San Francisco,"San Francisco, California",7/1/1993,9,6,14,No,White American or European American,Male,37.75457839,-122.4424343
341,Dearborn Post Office,"Dearborn, Michigan",5/6/1993,2,2,3,Unknown,Unknown,Male,42.31269522,-83.21293244
342,Dana Point Post Office,"Dana Point, California",5/6/1993,1,5,6,Yes,White American or European American,Male,33.47316083,-117.696399
343,Simon's Rock College of Bard,"Great Barrington, Massachusetts",12/14/1992,2,4,6,No,Asian American,Male,42.19358268,-73.36216339
344,Watkins Glen killings,"Watkins Glen, New York",10/15/1992,5,0,5,Yes,White,Male,42.3810555,-76.8705777
345,Schuyler County Office Building,"Watkins Glen, New York",10/15/1992,5,0,4,No,White American or European American,Male,42.38013875,-76.86724659
346,Palo Duro High School,"Amarillo, Texas",9/11/1992,0,6,6,Unknown,Unknown,Male,35.18322484,-101.8805688
347,Lindhurst High School shooting,"Olivehurst, California",5/1/1992,4,10,14,No,White,Male,39.07868761,-121.5475762
348,Lindhurst High School,"Olivehurst, California",5/1/1992,4,10,14,Yes,White American or European American,Male,39.08174985,-121.5549539
349,Royal Oak postal shootings,"Royal Oak, Michigan",11/14/1991,5,5,10,Yes,White,Male,42.4894801,-83.1446485
350,Royal Oak Post Office,"Royal Oak, Michigan",11/14/1991,5,5,9,Yes,White American or European American,Male,42.50840203,-83.15387427
351,University of Iowa shooting,"Iowa City, Iowa",11/1/1991,6,1,7,Unclear,Asian,Male,41.6606893,-91.5302214
352,University of Iowa,"Iowa City, Iowa",11/1/1991,6,1,6,No,Asian American,Male,41.65589405,-91.53117986
353,Luby's massacre,"Killeen, Texas",10/16/1991,24,20,44,No,White,Male,31.1171194,-97.7277959
354,"Luby's Cafeteria in Killeen, Texas","Killeen, Texas",10/16/1991,24,20,43,Yes,White American or European American,Male,31.07925506,-97.73392317
355,Ridgewood Post Office,"Ridgewood, New Jersey",10/10/1991,3,0,3,Yes,Black American or African American,Male,40.98213277,-74.11264731
356,Wat Promkunaram Buddhist Temple,"Phoenix, Arizona",8/9/1991,9,0,9,No,Asian American,Male,33.57145875,-112.0904854
357,GMAC massacre,"Jacksonville, Florida",6/18/1990,10,4,14,No,Black,Male,30.3321838,-81.655651
358,GMAC Loan Office,"Jacksonville, Florida",6/17/1990,12,6,17,No,Black American or African American,Male,30.33216122,-81.67576993
359,Standard Gravure shooting,"Louisville, Kentucky",9/14/1989,9,12,21,Yes,White,Male,38.2542376,-85.759407
360,Standard Gravure Corporation,"Louisville, Kentucky",9/14/1989,9,12,20,Yes,White American or European American,Male,38.249432,-85.726243
361,Orange Glenn Post Office,"Escondido, California",8/10/1989,4,1,4,No,White American or European American,Male,33.13439925,-117.0722528
362,Stockton schoolyard shooting,"Stockton, California",1/17/1989,6,29,35,Yes,White,Male,37.9577016,-121.2907796
363,Cleveland Elementary School,"Stockton, California",1/17/1989,6,30,35,Yes,White American or European American,Male,37.96631812,-121.3018775
